description,brand,calories,protein,fat,carbohydrates,fiber,sugar,sodium
"Milk, filled, fluid, with lauric acid oil",,63.0,3.33,3.4,4.74,0.0,,57.0
"Milk, goat, fluid, with added vitamin D",,69.0,3.56,4.14,4.45,0.0,,50.0
"Milk, human, mature, fluid (For Reference Only)",,291.0,1.03,4.38,6.89,0.0,,17.0
"Nutritional powder mix, light (Muscle Milk)",,396.0,50.0,12.0,22.0,2.0,,250.0
"Potato, mashed, from fresh, made with milk",,114.0,2.15,4.07,17.6,1.2,,210.0
"Salad dressing, mayonnaise, imitation, milk cream",,404.0,2.1,5.1,11.1,0.0,,504.0
"Yogurt, Greek, low fat milk, fruit",,91.0,9.11,1.33,10.78,0.1,,35.0
"Yogurt, Greek, low fat milk, plain",,67.0,10.2,1.36,3.6,0.0,,36.0
"Yogurt, Greek, NS as to type of milk or flavor",,91.0,9.11,1.33,10.78,0.1,,35.0
"Yogurt, Greek, NS as to type of milk, fruit",,91.0,9.11,1.33,10.78,0.1,,35.0
"Yogurt, Greek, NS as to type of milk, plain",,67.0,10.2,1.36,3.6,0.0,,36.0
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk",,58.0,0.52,0.76,12.28,0.0,,39.0
"Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk",,42.0,0.55,0.78,8.1,0.0,,41.0
"Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored",,31.0,0.59,0.84,5.18,0.1,,29.0
"Oatmeal, instant, plain, made with non-dairy milk, fat added",,113.0,3.09,4.98,15.12,1.9,,99.0
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",,94.0,3.18,2.6,15.62,2.0,,83.0
"Hot chocolate / cocoa, dry mix , made with non-dairy milk",,81.0,1.88,1.92,13.9,0.6,,112.0
"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",,54.0,1.19,1.48,8.92,0.1,,60.0
"Candies, MARS SNACKFOOD US, COCOAVIA Blueberry and Almond Chocolate Bar",,525.0,6.35,28.7,60.4,9.1,,8.0
"Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies",,522.0,7.53,27.8,60.5,5.6,,45.0
"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",,1610.0,8.9,5.9,76.6,11.1,,214.0
"Cereals ready-to-eat, QUAKER, Natural Granola Apple Cranberry Almond",,1750.0,9.21,11.1,74.7,9.9,,47.0
"Frozen coffee drink, with non-dairy milk and whipped cream",,75.0,0.62,2.64,12.06,0.0,,26.0
"Chocolate milk, reduced sugar, fat free (skim)",,49.0,3.18,0.19,8.64,0.0,,48.0
"Chocolate milk, reduced sugar, low fat (1%)",,57.0,3.13,0.95,8.87,0.0,,47.0
"Chocolate milk, reduced sugar, reduced fat (2%)",,63.0,3.11,1.78,8.62,0.0,,47.0
"Babyfood, cereal, high protein, prepared with whole milk",,111.0,8.7,3.8,11.6,,,49.0
"Babyfood, cereal, mixed, with bananas, prepared with whole milk",,86.0,3.82,3.46,10.0,0.4,,48.0
"Babyfood, cereal, mixed, with honey, prepared with whole milk",,115.0,5.0,3.6,15.9,,,48.0
"Babyfood, cereal, oatmeal, with bananas, prepared with whole milk",,362.0,3.82,3.46,10.0,0.4,,48.0
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",,115.0,5.0,3.9,15.3,,,49.0
"Babyfood, cereal, rice, with bananas, prepared with whole milk",,360.0,3.57,3.32,10.5,0.1,,47.0
"Babyfood, cereal, rice, with honey, prepared with whole milk",,115.0,3.9,3.3,17.1,,,49.0
"Beverages, Chocolate-flavored drink, whey and milk based",,205.0,0.64,0.4,10.7,0.6,,91.0
"Beverages, coffee, ready to drink, milk based, sweetened",,296.0,1.98,1.38,12.6,0.0,,26.0
"Candies, MARS SNACKFOOD US, DOVE Milk Chocolate",,2280.0,5.94,31.7,59.8,2.4,,63.0
"Egg custards, dry mix, prepared with 2% milk",,112.0,4.13,2.83,17.6,0.0,,87.0
"Egg custards, dry mix, prepared with whole milk",,512.0,3.99,4.0,17.6,0.0,,84.0
"Milk shake, bottled, flavors other than chocolate",,148.0,3.37,6.52,19.59,0.9,,81.0
"Milk, chocolate, lowfat, with added vitamin A and vitamin D",,64.0,3.46,1.11,10.2,0.1,,65.0
"Milk, dry, whole, without added vitamin D",,2080.0,26.3,26.7,38.4,0.0,,371.0
"Milk, filled, fluid, with blend of hydrogenated vegetable oils",,63.0,3.33,3.46,4.74,0.0,,57.0
"Milk, whole, 3.25% milkfat, with added vitamin D",,251.0,3.27,3.2,4.63,,,38.0
"Milk, whole, 3.25% milkfat, with added vitamin D",,254.0,3.15,3.25,4.8,0.0,,43.0
"Nutritional drink or shake, ready-to-drink (Muscle Milk)",,52.0,5.87,2.17,2.28,0.2,,95.0
"Oatmeal, instant, plain, made with milk, fat added",,129.0,4.81,5.4,16.52,1.8,,90.0
"Oatmeal, instant, plain, made with milk, no added fat",,111.0,4.96,3.04,17.07,1.9,,73.0
"Oatmeal, regular or quick, made with milk, fat added",,128.0,5.48,4.75,15.95,1.7,,115.0
"Oatmeal, regular or quick, made with milk, no added fat",,116.0,5.56,3.25,16.23,1.7,,105.0
"Potato, mashed, from dry mix, made with milk",,117.0,2.05,6.7,12.63,0.9,,252.0
"Potato, mashed, from fresh, made with milk, with cheese",,145.0,4.41,7.28,15.98,1.0,,258.0
"Potato, mashed, from fresh, made with milk, with gravy",,100.0,1.86,3.78,15.14,1.0,,246.0
"Potatoes, mashed, dehydrated, granules with milk, dry form",,1490.0,10.9,1.1,77.7,6.6,,82.0
"Potatoes, mashed, home-prepared, whole milk added",,348.0,1.91,0.57,17.6,1.5,,302.0
"Puddings, rice, dry mix, prepared with 2% milk",,465.0,3.29,1.63,20.8,0.1,,109.0
"Puddings, rice, dry mix, prepared with whole milk",,507.0,3.25,2.82,20.7,0.1,,108.0
"Puddings, tapioca, dry mix, prepared with 2% milk",,438.0,2.88,1.67,19.6,0.0,,121.0
"Puddings, tapioca, dry mix, prepared with whole milk",,481.0,2.84,2.89,19.4,0.0,,120.0
"Rennin, chocolate, dry mix, prepared with 2% milk",,357.0,3.24,2.06,13.5,0.5,,52.0
"Rennin, chocolate, dry mix, prepared with whole milk",,403.0,3.2,3.34,13.3,0.5,,51.0
"Rennin, vanilla, dry mix, prepared with 2% milk",,324.0,3.06,1.77,12.3,0.0,,46.0
"Rennin, vanilla, dry mix, prepared with whole milk",,371.0,3.03,3.07,12.2,0.0,,46.0
"Soup, cheese, canned, prepared with equal volume milk",,385.0,3.77,5.8,6.47,0.4,,406.0
"Yogurt, chocolate, nonfat milk, fortified with vitamin D",,469.0,3.53,0.0,23.5,1.2,,135.0
"Yogurt, nonfat milk, flavors other than fruit",,47.0,3.64,0.08,7.94,0.0,,44.0
"Yogurt, whole milk, flavors other than fruit",,95.0,3.28,3.88,11.76,0.0,,36.0
"Milk shake, home recipe, flavors other than chocolate",,113.0,3.35,5.98,11.39,0.2,,53.0
"Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream",,80.0,1.26,2.59,12.94,0.1,,25.0
"Frozen mocha coffee drink, with non-dairy milk and whipped cream",,73.0,0.6,2.54,11.79,0.0,,38.0
"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",,91.0,2.73,1.54,16.53,0.0,,60.0
"Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey & almonds",,1590.0,7.8,4.88,77.3,6.1,,453.0
"Continental Mills, Krusteaz Almond Poppyseed Muffin Mix, Artificially Flavored, dry",,1750.0,5.6,10.3,75.6,1.7,,590.0
"Formulated bar, MARS SNACKFOOD US, COCOAVIA, Chocolate Almond Snack Bar",,347.0,7.72,14.2,51.7,5.2,,260.0
"Milk shake, fast food, flavors other than chocolate",,148.0,3.37,6.52,19.59,0.9,,81.0
"Beverages, chocolate malt powder, prepared with 1% milk, fortified",,57.0,3.32,0.97,8.81,0.0,,60.0
"Beverages, chocolate malt, powder, prepared with fat free milk",,49.0,3.25,0.17,8.64,0.0,,77.0
"Beverages, coffee, ready to drink, iced, mocha, milk based",,253.0,1.48,0.98,11.4,0.0,,31.0
"Beverages, Eggnog-flavor mix, powder, prepared with whole milk",,396.0,2.93,3.02,14.2,0.0,,55.0
"Flan, caramel custard, dry mix, prepared with 2% milk",,430.0,2.99,1.72,18.8,0.0,,113.0
"Flan, caramel custard, dry mix, prepared with whole milk",,475.0,2.95,3.0,18.7,0.0,,112.0
"Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",,448.0,4.4,0.8,19.7,2.0,,81.0
"Granola bar, soft, milk chocolate coated, peanut butter",,536.0,9.6,31.2,54.1,3.8,,193.0
"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",,78.0,7.55,0.2,11.4,0.0,,115.0
"Milk, chocolate, fat free, with added vitamin A and vitamin D",,282.0,3.39,0.0,13.5,0.0,,79.0
"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",,78.0,2.99,1.9,12.1,0.7,,66.0
"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",,1500.0,35.1,0.72,52.2,0.0,,549.0
"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",,362.0,36.2,0.77,52.0,0.0,,535.0
"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",,107.0,6.67,2.0,15.7,0.0,,100.0
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",,145.0,3.4,0.18,4.85,0.0,,52.0
"Nutritional drink or shake, ready-to-drink, light (Muscle Milk)",,38.0,4.78,1.15,2.1,0.2,,27.0
"Potato, mashed, from dry mix, made with milk, with cheese",,148.0,4.32,9.62,11.54,0.8,,295.0
"Potato, mashed, from dry mix, made with milk, with gravy",,103.0,1.78,5.88,11.16,0.8,,280.0
"Potatoes, mashed, dehydrated, flakes without milk, dry form",,1480.0,8.34,0.41,81.2,6.6,,77.0
"Potatoes, mashed, dehydrated, granules without milk, dry form",,1560.0,8.22,0.54,85.5,7.1,,67.0
"Potatoes, mashed, home-prepared, whole milk and butter added",,471.0,1.86,4.22,16.8,1.5,,317.0
"Potatoes, mashed, home-prepared, whole milk and margarine added",,474.0,1.96,4.2,16.9,1.5,,333.0
"Puddings, banana, dry mix, instant, prepared with 2% milk",,441.0,2.76,1.7,19.7,0.0,,296.0
"Puddings, banana, dry mix, instant, prepared with whole milk",,115.0,2.62,2.8,19.8,0.0,,290.0
"Puddings, banana, dry mix, regular, prepared with 2% milk",,422.0,2.9,1.73,18.4,0.0,,164.0
"Puddings, banana, dry mix, regular, prepared with whole milk",,463.0,2.74,2.89,18.4,0.0,,158.0
"Puddings, chocolate, dry mix, instant, prepared with 2% milk",,441.0,3.15,1.92,18.9,0.4,,284.0
"Puddings, chocolate, dry mix, instant, prepared with whole milk",,111.0,3.1,3.1,18.8,1.0,,284.0
"Puddings, chocolate, dry mix, regular, prepared with 2% milk",,463.0,3.28,2.06,19.8,0.8,,102.0
"Puddings, chocolate, dry mix, regular, prepared with whole milk",,500.0,3.16,3.15,19.6,0.8,,98.0
"Puddings, lemon, dry mix, instant, prepared with 2% milk",,449.0,2.76,1.71,20.2,0.0,,268.0
"Puddings, lemon, dry mix, instant, prepared with whole milk",,115.0,2.7,2.9,20.1,0.0,,267.0
"Puddings, vanilla, dry mix, instant, prepared with whole milk",,114.0,2.7,2.9,19.7,0.0,,286.0
"Puddings, vanilla, dry mix, regular, prepared with 2% milk",,425.0,2.94,1.73,18.5,0.0,,159.0
"Puddings, vanilla, dry mix, regular, prepared with whole milk",,473.0,2.8,2.9,18.9,0.1,,156.0
"Soup, cream of asparagus, canned, prepared with equal volume milk",,272.0,2.55,3.3,6.61,0.3,,420.0
"Soup, cream of celery, canned, prepared with equal volume milk",,276.0,2.29,3.91,5.86,0.3,,272.0
"Soup, cream of chicken, canned, prepared with equal volume milk",,322.0,3.01,4.62,6.04,0.1,,362.0
"Soup, cream of onion, canned, prepared with equal volume milk",,314.0,2.74,3.78,7.4,0.3,,405.0
"Soup, cream of potato, canned, prepared with equal volume milk",,251.0,2.33,2.6,6.92,0.2,,230.0
"Soup, oyster stew, canned, prepared with equal volume milk",,230.0,2.51,3.24,3.99,0.0,,425.0
"Soup, pea, green, canned, prepared with equal volume milk",,393.0,4.97,2.77,12.7,1.1,,352.0
"Soup, tomato bisque, canned, prepared with equal volume milk",,331.0,2.51,2.63,11.7,0.2,,442.0
"Yogurt, Greek, nonfat milk, flavors other than fruit",,73.0,9.17,0.34,8.22,0.0,,32.0
"Yogurt, Greek, whole milk, flavors other than fruit",,104.0,7.81,3.92,9.21,0.0,,31.0
"Yogurt, low fat milk, flavors other than fruit",,82.0,4.51,1.36,13.02,0.0,,61.0
"Yogurt, NS as to type of milk, flavors other than fruit",,82.0,4.51,1.36,13.02,0.0,,61.0
"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",,73.0,0.6,2.56,11.84,0.0,,38.0
"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",,59.0,2.31,1.72,8.66,0.7,,118.0
"Milk shake, home recipe, flavors other than chocolate, light",,92.0,3.88,2.33,13.83,0.1,,51.0
"Snacks, KELLOGG, KELLOGG'S Low Fat Granola Bar, Crunchy Almond/Brown Sugar",,1630.0,8.0,7.4,78.0,6.2,,291.0
"Babyfood, cereal, high protein, with apple and orange, prepared with whole milk",,112.0,6.9,3.9,13.4,,,58.0
"Beverages, Carob-flavor beverage mix, powder, prepared with whole milk",,313.0,3.16,3.11,8.68,0.4,,46.0
"Beverages, chocolate drink, milk and soy based, ready to drink, fortified",,424.0,4.22,1.69,17.3,1.3,,63.0
"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",,1670.0,4.55,2.27,90.3,4.5,,136.0
"Beverages, chocolate-flavor beverage mix, powder, prepared with whole milk",,85.0,3.23,3.24,12.0,0.4,,58.0
"Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2",,131.0,0.21,2.08,2.92,0.0,,19.0
"Beverages, coffee, ready to drink, vanilla, light, milk based, sweetened",,36.0,2.14,1.07,4.27,0.0,,34.0
"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",,85.0,3.37,3.29,11.2,0.5,,60.0
"Beverages, Malted drink mix, natural, powder, prepared with whole milk",,88.0,3.86,3.62,10.2,0.1,,79.0
"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",,88.0,3.0,3.1,12.3,0.0,,48.0
"Bread, white, prepared from recipe, made with nonfat dry milk",,274.0,7.7,2.6,53.6,2.0,,336.0
"Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate",,521.0,9.53,31.3,55.4,3.3,,264.0
"Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies",,2060.0,4.33,21.1,71.2,2.8,,61.0
"Light Ice Cream, soft serve, blended with milk chocolate candies",,760.0,4.02,6.46,26.8,0.2,,54.0
"Milk, canned, evaporated, with added vitamin D and without added vitamin A",,562.0,6.81,7.56,10.0,0.0,,106.0
"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",,349.0,3.17,3.39,10.3,0.8,,60.0
"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",,1500.0,35.1,0.72,52.2,0.0,,549.0
"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",,1520.0,36.2,0.77,52.0,0.0,,535.0
"Milk, fluid, 1% fat, without added vitamin A and vitamin D",,177.0,3.37,0.97,4.99,0.0,,44.0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",,43.0,3.38,0.95,5.18,,,39.0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",,42.0,3.37,0.97,4.99,0.0,,44.0
"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",,61.0,3.15,3.27,4.78,0.0,,43.0
"Potatoes, scalloped, dry mix, prepared with water, whole milk and butter",,93.0,2.12,4.3,12.8,1.1,,341.0
"Puddings, coconut cream, dry mix, instant, prepared with 2% milk",,107.0,2.9,2.3,19.2,0.1,,246.0
"Puddings, coconut cream, dry mix, instant, prepared with whole milk",,117.0,2.9,3.5,19.1,0.1,,246.0
"Puddings, coconut cream, dry mix, regular, prepared with 2% milk",,104.0,3.1,2.5,17.8,0.2,,163.0
"Puddings, coconut cream, dry mix, regular, prepared with whole milk",,114.0,3.0,3.8,17.7,0.2,,162.0
"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",,104.0,4.4,0.8,19.7,2.0,,81.0
"Yogurt, Greek, low fat milk, flavors other than fruit",,81.0,9.07,1.34,8.18,0.0,,32.0
"Yogurt, Greek, NS as to type of milk, flavors other than fruit",,81.0,9.07,1.34,8.18,0.0,,32.0
"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",,361.0,4.93,1.25,13.8,0.0,,66.0
"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",,69.0,2.99,1.73,10.44,0.0,,50.0
"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",,78.0,2.79,0.06,16.55,0.0,,61.0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",,98.0,3.4,3.53,13.2,0.3,,41.0
"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",,92.0,3.05,3.08,13.0,0.6,,38.0
"Beverages, coffee substitute, cereal grain beverage, powder, prepared with whole milk",,65.0,3.3,3.3,5.6,0.1,,49.0
"Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and eggs",,330.0,6.59,9.58,54.5,2.3,,599.0
"Bread, cornbread, prepared from recipe, made with low fat (2%) milk",,266.0,6.7,7.1,43.5,,,658.0
"Bread, white, prepared from recipe, made with low fat (2%) milk",,285.0,7.9,5.7,49.6,2.0,,359.0
"Candies, MARS SNACKFOOD US, M&M's MINIs Milk Chocolate Candies",,2100.0,4.78,23.4,68.4,2.7,,68.0
"Candies, MARS SNACKFOOD US, MILKY WAY Caramels, milk chocolate covered",,1940.0,4.28,19.2,68.5,0.7,,273.0
"Candies, REESE'S, FAST BREAK, milk chocolate peanut butter and soft nougats",,474.0,8.66,23.4,61.6,2.9,,330.0
"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",,194.0,3.61,12.7,17.1,0.0,,66.0
"Formulated bar, SLIM-FAST OPTIMA meal bar, milk chocolate peanut",,386.0,16.2,8.92,60.2,5.1,,253.0
"French toast, prepared from recipe, made with low fat (2%) milk",,229.0,7.7,10.8,25.0,,,479.0
"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",,76.0,2.99,1.9,12.1,0.7,,66.0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",,143.0,3.37,0.08,4.96,0.0,,42.0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",,144.0,3.43,0.08,4.92,,,41.0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",,50.0,3.3,1.98,4.8,0.0,,47.0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",,50.0,3.36,1.9,4.9,,,39.0
GRILLED CHICKEN BREAST,Life Gourmet Shop LLC.,135.0,9.69,4.84,13.2,1.4,,211.0
GRILLED CHICKEN BREAST,"Ahold USA, Inc. ",86.0,9.29,2.86,5.71,1.4,,343.0
"Chicken breast, grilled with sauce, skin eaten",,202.0,21.15,9.15,7.34,0.2,,454.0
"Chicken breast, grilled with sauce, skin not eaten",,178.0,24.33,4.93,7.34,0.2,,473.0
"Chicken breast, grilled without sauce, skin eaten",,206.0,25.72,10.62,0.0,0.0,,329.0
"Chicken breast, grilled without sauce, skin not eaten",,176.0,29.62,5.45,0.0,0.0,,353.0
"Chicken fillet, grilled",,151.0,22.31,5.81,2.36,0.0,,450.0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, grilled",,151.0,30.5,3.17,0.0,0.0,,52.0
"Chicken wing, grilled with sauce",,250.0,19.03,15.49,7.28,0.2,,568.0
"Chicken wing, grilled without sauce",,265.0,23.13,18.39,0.0,0.0,,402.0
"GRILLED CHICKEN BREAST, GRILLED",Wakefern Food Corporation,129.0,24.3,2.75,0.0,0.0,,651.0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, with added solution, cooked, grilled",,148.0,29.5,3.39,0.0,0.0,,215.0
"WENDY'S, Ultimate Chicken Grill Sandwich",,179.0,14.7,5.0,18.9,1.1,,427.0
"Chicken drumstick, grilled with sauce, skin eaten",,200.0,18.68,10.15,7.28,0.2,,588.0
"Chicken drumstick, grilled with sauce, skin not eaten",,172.0,19.39,6.62,7.28,0.2,,592.0
"Chicken fillet sandwich, grilled, on wheat bun",,210.0,22.46,4.87,17.84,2.1,,387.0
"Chicken fillet sandwich, grilled, on white bun",,216.0,21.82,4.84,19.69,0.7,,408.0
"Chicken thigh, grilled with sauce, skin eaten",,233.0,18.61,13.77,7.28,0.2,,571.0
"Chicken thigh, grilled with sauce, skin not eaten",,191.0,19.8,8.56,7.28,0.2,,575.0
"McDONALD'S, Bacon Ranch Salad with Grilled Chicken",,81.0,10.3,3.14,3.64,1.0,,230.0
"GRILLED CHICKEN BREAST CHUNKS, GRILLED CHICKEN",Wayne Farms LLC,119.0,19.0,2.98,2.38,0.0,,548.0
"GRILLED CHICKEN BREAST TENDERLOINS, GRILLED CHICKEN","Tyson Foods, Inc.",107.0,25.0,0.6,1.19,0.0,,476.0
"Chicken breast, rotisserie, skin not eaten",,144.0,28.04,3.57,0.0,0.0,,328.0
"Chicken breast tenders, breaded, uncooked",,1100.0,14.7,15.8,15.0,1.1,,536.0
"Chicken breast, roll, oven-roasted",,562.0,14.6,7.65,1.79,0.0,,883.0
"Chicken breast, rotisserie, skin eaten",,175.0,26.37,7.67,0.09,0.0,,329.0
"Chicken breast, sauteed, skin eaten",,206.0,25.72,10.62,0.0,0.0,,329.0
"Chicken breast, sauteed, skin not eaten",,176.0,29.62,5.45,0.0,0.0,,353.0
"Chicken breast, stewed, skin eaten",,181.0,24.7,8.28,0.0,0.0,,316.0
"Chicken breast, stewed, skin not eaten",,149.0,27.96,3.26,0.0,0.0,,333.0
"GRILLED CHICKEN BREAST CUTLET, GRILLED",Wakefern Food Corporation,129.0,24.3,2.75,0.0,0.0,,302.0
"GRILLED CHICKEN BREAST STRIPS, GRILLED",Target Stores,131.0,26.2,2.38,0.0,0.0,,464.0
"GRILLED CHICKEN BREAST STRIPS, GRILLED","Hy-Vee, Inc.",118.0,23.5,2.35,1.18,0.0,,541.0
"GRILLED CHICKEN BREAST STRIPS, GRILLED","Tyson Foods, Inc.",131.0,25.0,2.98,2.38,0.0,,643.0
"GRILLED CHICKEN BREAST STRIPS, GRILLED",Target Stores,107.0,19.0,2.38,1.19,0.0,,464.0
"GRILLED CHICKEN BREAST STRIPS, GRILLED",Target Stores,131.0,26.2,2.98,0.0,0.0,,310.0
"GRILLED DICED CHICKEN BREAST, GRILLED",Target Stores,131.0,23.8,2.98,2.38,0.0,,393.0
"GRILLED CHICKEN BREAST WITH RICE & BROCCOLI MEAL, GRILLED CHICKEN BREAST",Wawa Incorporated,120.0,10.7,1.67,16.0,0.7,,193.0
"Chicken drumstick, grilled without sauce, skin eaten",,204.0,22.7,11.85,0.0,0.0,,427.0
"Chicken drumstick, grilled without sauce, skin not eaten",,169.0,23.57,7.53,0.0,0.0,,432.0
"Chicken fillet sandwich, grilled, from fast food",,226.0,21.5,6.18,19.4,0.7,,430.0
"Chicken fillet sandwich, grilled, on wheat bun, with cheese",,230.0,22.19,7.94,16.17,1.8,,468.0
"Chicken fillet sandwich, grilled, on white bun, with cheese",,235.0,21.64,7.92,17.78,0.6,,487.0
"Chicken thigh, grilled without sauce, skin eaten",,243.0,22.61,16.29,0.0,0.0,,406.0
"Chicken thigh, grilled without sauce, skin not eaten",,192.0,24.07,9.91,0.0,0.0,,410.0
"Chicken, NS as to part, grilled with sauce, skin eaten",,211.0,19.89,10.74,7.31,0.2,,516.0
"Chicken, NS as to part, grilled with sauce, skin not eaten",,180.0,21.98,6.36,7.31,0.2,,527.0
"Chicken breast tenders, breaded, cooked, microwaved",,252.0,16.4,12.9,17.6,0.0,,446.0
"Oscar Mayer, Chicken Breast (honey glazed)",,454.0,19.8,1.5,4.3,0.0,,1440.0
"GRILLED CHICKEN BREAST ON A STICK,GRILLED CHICKEN SKEWERS",PROSTICKS,150.0,23.0,4.0,3.0,0.0,,630.0
"CARRABBA'S ITALIAN GRILL, chicken parmesan without cavatappi pasta",,206.0,19.0,11.0,7.8,0.9,,467.0
"Chicken fillet sandwich, grilled, from fast food, with cheese",,243.0,21.36,9.05,17.55,0.6,,504.0
"Chicken fillet wrap sandwich, grilled, from fast food",,252.0,20.83,10.42,17.3,1.2,,574.0
"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten",,220.0,18.64,12.32,7.28,0.2,,578.0
"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten",,183.0,19.63,7.79,7.28,0.2,,582.0
"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",,180.0,21.98,6.36,7.31,0.2,,527.0
"Chicken, NS as to part, grilled without sauce, skin eaten",,217.0,24.19,12.57,0.0,0.0,,372.0
"Chicken, NS as to part, grilled without sauce, skin not eaten",,179.0,26.74,7.2,0.0,0.0,,386.0
SEASONED GRILLED CHICKEN BREASTS,"Renaissance Food Group, LLC",124.0,26.6,2.26,0.0,0.0,,379.0
GRILLED CHICKEN BREAST STRIPS,"Spring Glen Fresh Foods, Inc.",118.0,24.7,2.35,0.0,0.0,,388.0
CHICKEN BREAST GRILLED STRIPS,Foster Poultry Farms,131.0,26.2,2.38,0.0,0.0,,464.0
FLAME GRILLED CHICKEN BREAST,,107.0,19.6,2.68,1.79,,,607.0
GRILLED CARVED CHICKEN BREAST,Perdue Farms Incorporated,119.0,23.8,2.38,1.19,0.0,,488.0
GRILLED CARVED CHICKEN BREAST,Perdue Farms Incorporated,127.0,22.5,2.82,0.0,0.0,,535.0
GRILLED CHICKEN BREAST DICES,The Kroger Co.,118.0,20.0,2.35,2.35,0.0,,624.0
GRILLED CHICKEN BREAST FILLETS,The Kroger Co.,125.0,22.3,2.68,2.68,0.4,,527.0
GRILLED CHICKEN BREAST STRIPS,"Wal-Mart Stores, Inc.",119.0,22.6,1.79,2.38,0.0,,524.0
GRILLED CHICKEN BREAST STRIPS,Hormel Foods Corporation ,131.0,27.4,2.38,0.0,0.0,,464.0
GRILLED CHICKEN BREAST STRIPS,Target Stores,107.0,20.2,1.19,2.38,0.0,,464.0
